BloodBank ID,BloodBank,BloodGroup,Units Available,Hospital,H.Contact,Pharmacy,Medicine Availability,Hospital Location,LastUpdated,Status
BB029,CityPlus Emergency Blood Unit,A+,9,CityPlus Hospital,2225851234,Medico,Limited,THANE,29-08-2026,Active
BB030,CareOne Emergency Blood Bank,AB-,6,CareOne Hospital,2026669333,MedPlus,Available,Pune,30-08-2026,ACTIVE
BB031,Apex City Blood Bank,B-,8,Apex Care Hospital,022-40011222,Apollo Pharmacy,Available,Mumbai,31-08-2026,Active
BB032,Lifecare City Blood Centre,AB+,3,Lifecare Medical Centre,2026558900,Wellness Pharma,Limited,pune,01-09-2026,active
BB033,Harmony City Blood Unit,O-,11,Harmony Hospital,022-27894500,Care Pharmacy,Available,Navi Mumbai,02-09-2026,Active
BB034,Green Valley City Blood Bank,A+,5,Green Valley Hosp.,2241557888,MedPlus,Limited,Thane,03-09-2026,ACTIVE
BB035,Metro City Blood Centre,B+,13,Metro Health Hospital,020-26111211,Apollo Pharmacy,Available,Pune,04-09-2026,Active
BB036,Sunrise City Blood Bank,O+,7,Sunrise Multispeciality,2261478500,Medico,Available,MUMBAI,05-09-2026,inactive
BB037,Unity City Blood Centre,AB-,4,Unity Hospital,022-27788999,Wellness Pharma,Limited,Navi Mumbai,06-09-2026,Active
BB038,Global City Blood Bank,A-,10,Global Health Institute,022-40115678,Care Pharmacy,Available,Mumbai,07-09-2026,active
BB039,CityPlus City Blood Centre,O-,6,CityPlus Hospital,2225851234,MedPlus,Out of Stock,THANE,08-09-2026,Active
BB040,CareOne City Blood Bank,B+,14,CareOne Hospital,2026669333,Apollo Pharmacy,Available,Pune,09-09-2026,ACTIVE
BB041,Apex Regional Blood Bank,A+,9,Apex Care Hospital,022-40011222,Medico,Limited,Mumbai,10-09-2026,Active
BB042,Lifecare Regional Blood Centre,O-,5,Lifecare Medical Centre,2026558900,MedPlus,Available,Pune,11-09-2026,active
BB043,Harmony Regional Blood Bank,B-,12,Harmony Hospital,022-27894500,Care Pharmacy,Available,Navi Mumbai,12-09-2026,Active
BB044,Green Valley Regional Blood Unit,AB-,4,Green Valley Hosp.,2241557888,Apollo Pharmacy,Limited,THANE,13-09-2026,ACTIVE
BB045,Metro Regional Blood Bank,O+,8,Metro Health Hospital,020-26111211,Wellness Pharma,Available,Pune,14-09-2026,Active
BB046,Sunrise Regional Blood Centre,A-,3,Sunrise Multispeciality,2261478500,Medico,Out of Stock,Mumbai,15-09-2026,inactive
BB047,Unity Regional Blood Bank,B+,10,Unity Hospital,022-27788999,MedPlus,Available,Navi Mumbai,16-09-2026,Active
BB048,Global Regional Blood Centre,AB+,6,Global Health Institute,022-40115678,Apollo Pharmacy,Limited,Mumbai,17-09-2026,active
BB049,CityPlus Regional Blood Bank,O-,5,CityPlus Hospital,2225851234,Care Pharmacy,Available,Thane,18-09-2026,Active
BB050,CareOne Regional Blood Centre,A+,11,CareOne Hospital,2026669333,Medico,Available,Pune,19-09-2026,ACTIVE
BB051,Apex Medical Blood Bank,B+,7,Apex Care Hospital,022-40011222,Wellness Pharma,Limited,MUMBAI,20-09-2026,Active
BB052,Lifecare Medical Blood Unit,AB+,5,Lifecare Medical Centre,2026558900,Apollo Pharmacy,Available,pune,21-09-2026,active
BB053,Harmony Medical Blood Centre,A-,9,Harmony Hospital,022-27894500,MedPlus,Available,Navi Mumbai,22-09-2026,Active
BB054,Green Valley Medical Blood Bank,O+,13,Green Valley Hosp.,2241557888,Care Pharmacy,Limited,Thane,23-09-2026,ACTIVE
BB055,Metro Medical Blood Centre,B-,6,Metro Health Hospital,020-26111211,Medico,Available,Pune,24-09-2026,Active
BB056,Sunrise Medical Blood Bank,O-,2,Sunrise Multispeciality,2261478500,Apollo Pharmacy,Out of Stock,MUMBAI,25-09-2026,inactive
BB057,Unity Medical Blood Centre,A+,12,Unity Hospital,022-27788999,Wellness Pharma,Available,Navi Mumbai,26-09-2026,Active
BB058,Global Medical Blood Bank,AB-,8,Global Health Institute,022-40115678,MedPlus,Limited,Mumbai,27-09-2026,active
BB059,CityPlus Medical Blood Centre,B+,4,CityPlus Hospital,2225851234,Care Pharmacy,Available,THANE,28-09-2026,Active
BB060,CareOne Medical Blood Bank,O+,10,CareOne Hospital,2026669333,Apollo Pharmacy,Available,Pune,29-09-2026,ACTIVE
BB061,Apex Central Blood Bank,A-,6,Apex Care Hospital,022-40011222,MedPlus,Limited,Mumbai,30-09-2026,Active
BB062,Lifecare Central Blood Centre,O+,14,Lifecare Medical Centre,2026558900,Medico,Available,Pune,01-10-2026,active
BB063,Harmony Central Blood Bank,B-,3,Harmony Hospital,022-27894500,Apollo Pharmacy,Out of Stock,Navi Mumbai,02-10-2026,Active
BB064,Green Valley Central Blood Unit,AB+,9,Green Valley Hosp.,2241557888,Wellness Pharma,Available,THANE,03-10-2026,ACTIVE
BB065,Metro Central Blood Bank,A+,7,Metro Health Hospital,020-26111211,Care Pharmacy,Limited,Pune,04-10-2026,Active
BB066,Sunrise Central Blood Centre,B+,11,Sunrise Multispeciality,2261478500,MedPlus,Available,MUMBAI,05-10-2026,inactive
BB067,Unity Central Blood Bank,O-,5,Unity Hospital,022-27788999,Apollo Pharmacy,Available,Navi Mumbai,06-10-2026,Active
BB068,Global Central Blood Unit,AB-,4,Global Health Institute,022-40115678,Medico,Limited,Mumbai,07-10-2026,active
BB069,CityPlus Central Blood Bank,O+,13,CityPlus Hospital,2225851234,Wellness Pharma,Available,Thane,08-10-2026,Active
BB070,CareOne Central Blood Centre,A+,8,CareOne Hospital,2026669333,MedPlus,Available,Pune,09-10-2026,ACTIVE
BB071,Apex Advanced Blood Bank,B-,6,Apex Care Hospital,022-40011222,Care Pharmacy,Limited,MUMBAI,10-10-2026,Active
BB072,Lifecare Advanced Blood Centre,A+,10,Lifecare Medical Centre,2026558900,Apollo Pharmacy,Available,pune,11-10-2026,active
BB073,Harmony Advanced Blood Bank,O+,8,Harmony Hospital,022-27894500,Medico,Available,Navi Mumbai,12-10-2026,Active
BB074,Green Valley Advanced Blood Unit,B+,3,Green Valley Hosp.,2241557888,MedPlus,Out of Stock,Thane,13-10-2026,ACTIVE
BB075,Metro Advanced Blood Bank,AB-,7,Metro Health Hospital,020-26111211,Wellness Pharma,Limited,Pune,14-10-2026,Active
BB076,Sunrise Advanced Blood Centre,O-,12,Sunrise Multispeciality,2261478500,Care Pharmacy,Available,MUMBAI,15-10-2026,inactive
BB077,Unity Advanced Blood Bank,A-,5,Unity Hospital,022-27788999,MedPlus,Available,Navi Mumbai,16-10-2026,Active
BB078,Global Advanced Blood Centre,B+,9,Global Health Institute,022-40115678,Apollo Pharmacy,Limited,Mumbai,17-10-2026,active
BB079,CityPlus Advanced Blood Bank,AB+,4,CityPlus Hospital,2225851234,Medico,Available,THANE,18-10-2026,Active
BB080,CareOne Advanced Blood Centre,O+,15,CareOne Hospital,2026669333,Wellness Pharma,Available,Pune,19-10-2026,ACTIVE
BB081,Apex Prime Blood Bank,O+,5,Apex Care Hospital,022-40011222,Apollo Pharmacy,Limited,Mumbai,20-10-2026,Active
BB082,Lifecare Prime Blood Centre,B-,8,Lifecare Medical Centre,2026558900,MedPlus,Available,Pune,21-10-2026,active
BB083,Harmony Prime Blood Bank,A+,12,Harmony Hospital,022-27894500,Care Pharmacy,Available,Navi Mumbai,22-10-2026,Active
BB084,Green Valley Prime Blood Unit,AB+,6,Green Valley Hosp.,2241557888,Medico,Limited,THANE,23-10-2026,ACTIVE
BB085,Metro Prime Blood Bank,O-,3,Metro Health Hospital,020-26111211,Apollo Pharmacy,Out of Stock,Pune,24-10-2026,Active
BB086,Sunrise Prime Blood Centre,B+,10,Sunrise Multispeciality,2261478500,Wellness Pharma,Available,MUMBAI,25-10-2026,inactive
BB087,Unity Prime Blood Bank,A-,7,Unity Hospital,022-27788999,MedPlus,Limited,Navi Mumbai,26-10-2026,Active
BB088,Global Prime Blood Unit,AB-,5,Global Health Institute,022-40115678,Care Pharmacy,Available,Mumbai,27-10-2026,active
BB089,CityPlus Prime Blood Bank,O+,11,CityPlus Hospital,2225851234,Apollo Pharmacy,Available,THANE,28-10-2026,Active
BB090,CareOne Prime Blood Centre,A+,9,CareOne Hospital,2026669333,Medico,Limited,Pune,29-10-2026,ACTIVE
BB091,Apex Express Blood Bank,B+,4,Apex Care Hospital,022-40011222,MedPlus,Available,Mumbai,30-10-2026,Active
BB092,Lifecare Express Blood Centre,O-,13,Lifecare Medical Centre,2026558900,Apollo Pharmacy,Available,pune,31-10-2026,active
BB093,Harmony Express Blood Bank,AB-,6,Harmony Hospital,022-27894500,Wellness Pharma,Limited,Navi Mumbai,01-11-2026,Active
BB094,Green Valley Express Blood Unit,A+,8,Green Valley Hosp.,2241557888,Care Pharmacy,Available,Thane,02-11-2026,ACTIVE
BB095,Metro Express Blood Bank,B-,5,Metro Health Hospital,020-26111211,Medico,Out of Stock,Pune,03-11-2026,Active
BB096,Sunrise Express Blood Centre,O+,14,Sunrise Multispeciality,2261478500,MedPlus,Available,MUMBAI,04-11-2026,inactive
BB097,Unity Express Blood Bank,A-,3,Unity Hospital,022-27788999,Apollo Pharmacy,Limited,Navi Mumbai,05-11-2026,Active
BB098,Global Express Blood Centre,AB+,9,Global Health Institute,022-40115678,Wellness Pharma,Available,Mumbai,06-11-2026,active
BB099,CityPlus Express Blood Bank,O-,7,CityPlus Hospital,2225851234,Care Pharmacy,Available,THANE,07-11-2026,Active
BB100,CareOne Express Blood Centre,B+,12,CareOne Hospital,2026669333,MedPlus,Limited,Pune,08-11-2026,ACTIVE
BB101,Apex Emergency Reserve,AB+,5,Apex Care Hospital,022-40011222,Apollo Pharmacy,Available,Mumbai,09-11-2026,Active
BB102,Lifecare Emergency Reserve,A-,7,Lifecare Medical Centre,2026558900,Medico,Limited,Pune,10-11-2026,active
BB103,Harmony Emergency Reserve,O+,10,Harmony Hospital,022-27894500,MedPlus,Available,Navi Mumbai,11-11-2026,Active
BB104,Green Valley Emergency Reserve,B+,4,Green Valley Hosp.,2241557888,Wellness Pharma,Out of Stock,Thane,12-11-2026,ACTIVE
BB105,Metro Emergency Reserve,AB-,8,Metro Health Hospital,020-26111211,Care Pharmacy,Available,Pune,13-11-2026,Active
